"name","community","published_date","researcher","available_at","research_report_title","keyword_1","keyword_2","keyword_3","Id"
"RR 250","15",2003,"University of Canterbury, Department of Civil Engineering, Christchurch","www.nzta.govt.nz/resources/research/reports/250","Foamed Bitumen Stabilisation for New Zealand Roads","Asphalt","bitumen","cement",32
"RR 132","5",1999,"Montgomery Watson NZ Limited","www.nzta.govt.nz/resources/research/reports/132","Environmental Management for Roading Contractors III. Provisional Guidelines for Environmental Management During Road Works","Construction","environment","erosion",33
"RR 225","5",2002,"Environmental Management Services Ltd","www.nzta.govt.nz/resources/research/reports/225","Environmental Protection Measures on NZ State Highway Roading Projects Volume 2: Key Issues & Observations from the Study","Assessment","coastline","consent conditions",34
"RR 242","25",2003,"Data Collection Ltd","www.nzta.govt.nz/resources/research/reports/242","Harmonising Automated Rut Depth Measurements","Rut depth","profilometer","straight-edge",35
"RR 279","3",2005,"Transit","www.nzta.govt.nz/resources/research/reports/279","Effect on Pavement Wear of Increased Mass Limits for Heavy Vehicles - Stage 3","Accelerator pavement testing","CAPTIF","heavy vehicles",36
"RR 280","3",2005,"Transit","www.nzta.govt.nz/resources/research/reports/280","Effect on Pavement Wear of Increased Mass Limits for Heavy Vehicles - Stage 4","Accelerator pavement testing","CAPTIF","heavy vehicles",37
"RR 255","26",2004,"TERNZ Ltd","www.nzta.govt.nz/resources/research/reports/255","Impact on Driver Behaviour of Overtaking Lane Design for New Zealand Roads","Crashes","design","driver behaviour",38
"RR 256","6",2004,"Opus International Consultants","www.nzta.govt.nz/resources/research/reports/256","Prediction of Skid Resistance Performance of Chipseal Roads in New Zealand","Aggregate polishing","bitumen film","chipseal",39
"RR 104","2",1998,"Bartley Consultants Limited","www.nzta.govt.nz/resources/research/reports/104","Design of Pavements Incorporating a Stabilised Subgrade Layer: Literature Review","AUSTROADS","cemented","design",40
"RR 142","2",1999,"Transit NZ, Bartley Consultants, University of Canterbury","www.nzta.govt.nz/resources/research/reports/142","Materials & Methods Needed to Prepare Subgrades Suitable For CAPTIF","Basecourse","CAPTIF","loading",41
"RR 233","27",2002,"City Design and University of Auckland","www.nzta.govt.nz/resources/research/reports/233","Safety Implications of Flush Medians in Auckland City, New Zealand","Accidents","analysis","Auckland",42
"RR 216","28",2001,"Bartley Consultants Limited","www.nzta.govt.nz/resources/research/reports/216","Weathering Characteristics of Modified Marginal Aggregates","Aggregate","clay minerals","marginal aggregate",43
"RR 304","7",2006,"ARRB Group","www.nzta.govt.nz/resources/research/reports/304","Predicting In-service Performance of Alternative Pavement Materials","Aggregates","deformation","performance specifications",44
"RR 32","29",1994,"Beca Carter Hollings and Ferner / Traffic Planning Consultants Ltd","www.nzta.govt.nz/resources/research/reports/32","Site design for heavy vehicle facilities","A-train","access","B-train",45
"RR 308","30",2006,"Bartley Consultants Ltd, NZ and University of Nottingham, UK","www.nzta.govt.nz/resources/research/reports/308","Environmental impact of industrial by-products in road construction - a literature review","Assessment","contamination","environmental impact",46
"RR 325","7",39295,"Transit NZ","www.nzta.govt.nz/resources/research/reports/325","The effect of grading on the performance of basecourse aggregate","Aggregates","basecourse","deformation",47
"RR 230","31",2002,"Montgomery Watson Harza Limited","www.nzta.govt.nz/resources/research/reports/230","Evaluation of Automatic Bicycle Counters in New Zealand","Automatic","bicycle","Christchurch",48
"RR 227","2",2002,"HTC Infrastructure Management Limited","www.nzta.govt.nz/resources/research/reports/227","Comparison of Predictive Pavement Management Models (HDM-III, HDM-4, NZ dTIMS) for New Zealand Conditions","HDM-3","HDM-4","NZ dTIMS",49
"RR 305","2",2008,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/305","Adaption of AUSTROADS' pavement design guide for New Zealand conditions","AUSTROADS","basecourse","design",50
"RR 335","7",2008,"Pavespec Ltd, University of Canterbury, Transit NZ","www.nzta.govt.nz/resources/research/reports/335","Performance tests for road aggregates and alternative materials","aggregates","deformation","performance specifications",51
"RR 333","9",39387,"Ward-Wilson Research","www.nzta.govt.nz/resources/research/reports/333","Integrated land use and transport planning","Environment","integration","land use",52
"RR 322","32",39294,"TERNZ Ltd","www.nzta.govt.nz/resources/research/reports/322","The cost effectiveness of delineation improvements for safety","Road safety","software","delineation",53
"RR 268","10",2005,"Pinnacle Research","www.nzta.govt.nz/resources/research/reports/268","Trip Chaining: Understanding how New Zealanders Link Their Travel","Household travel","round trip","school travel",54
"RR 378 Vol 1","33",40057,"MWH New Zealand Ltd","www.nzta.govt.nz/resources/research/reports/378","Climate change effects on the land transport network. Volume 2","Climate change","coastal shipping","erosion",55
"RR 289","16",2006,"Beca Infrastructure Ltd","www.nzta.govt.nz/resources/research/reports/289","Predicting Accident Rates for Cyclists and Pedestrians","Accident prediction models","crash","cyclists",56
"RR 345","34",39569,"NIWA","www.nzta.govt.nz/resources/research/reports/345","Contaminant characterisation and toxicity of road sweepings and catchpit sediments","Catch basins","catchpits","characterisation",57
"RR 386","16",39965,"Beca Infrastructure Ltd","www.nzta.govt.nz/resources/research/reports/386","Roundabout crash prediction models development benefits of transport investment","accident","accident prediction models","crash",58
"RR 271","17",2006,"Wigmore and Associates Ltd, TERNZ and WBW Traffic","www.nzta.govt.nz/resources/research/reports/271","School Journey Safety - A comparative Study of Engineering Devices","Bus","calming","car",59
"RR 297","35",2006,"GHD Ltd and University of Auckland","www.nzta.govt.nz/resources/research/reports/297","Through Lane Utilisation at Traffic Signals","Analysis","Auckland","benefit/cost analysis",60
"RR 341","2",39479,"Opus International Consultants","www.nzta.govt.nz/resources/research/reports/341","The prediction of pavement remaining life","Basecourse","design","failure",61
"RR 327 1 and 2","36",39295,"Beca Infrastructure Ltd","www.nzta.govt.nz/resources/research/reports/327","Transport impact guidelines for site development","Assessment","best practice","development",62
"RR 390","37",40059,"Opus International Consultants Ltd","www.nzta.govt.nz/resources/research/reports/390","The waterproofness of first-coat chipseals","chipseal","moisture","pavement failure",63
"RR 351","7",39722,"Pavespec limited","www.nzta.govt.nz/resources/research/reports/351","The effect of adding recycled glass on the performance of basecourse aggregate","Aggregates","basecourse","deformation",64
"RR 427","7",40483,"Pavespec Ltd and University of Canterbury","www.nzta.govt.nz/resources/research/reports/427","Pavement thickness design charts derived from a rut depth finite element model","aggregates","basecourse","deformation",65
"RR 359","38",39783,"McCormick Cagney Rankin and Auckland University of Technology","www.nzta.govt.nz/resources/research/reports/359","Valuing the health benefits of active modes","Active modes","active transport","cost-benefit analysis",66
"RR 357","4",39661,"McCormick Rankin Cagney","www.nzta.govt.nz/resources/research/reports/357","Managing transport challenges when oil prices rise","Oil prices","central government","regional councils",67
"RR 418","4",40422,"Beca Indrastucture Ltd","www.nzta.govt.nz/resources/research/reports/418","Forecasting the benefits from providing an interface between cycling and public transport","bicycle","bicycling","bicycle commuting",68
"RR 358","39",2008,"Fulton Hogan Ltd","www.nzta.govt.nz/resources/research/reports/358","Developing and trialling a climate based section guideline for chip seal binders","Aggregate loss","application","binder",69
"RR 210","13",2001,"Douglass Consulting Services & Traffic Design Group","www.nzta.govt.nz/resources/research/reports/210","Trips and Parking Related to Land Use - Volume 2: Trip and Parking Surveys Database","City centre","design hour","land use",70
"RR 369","10",39873,"Pinnacle Research and Policy Ltd and Capital Research","www.nzta.govt.nz/resources/research/reports/369","Trends in older people's travel patterns","Aged","household travel","older people",71
"RR 373","10",39904,"Pinnacle Research and Policy Ltd and Capital Research","www.nzta.govt.nz/resources/research/reports/373","Trends in trip chaining and tours: Analysing changes in New Zealanders' travel patterns using the ongoing New Zealand household travel survey","Household travel","round trip","school travel",72
"RR 421","2",40513,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/421","Failure probability of New Zealand pavements","age","failure","life",73
"RR 317","9",39142,"Hyder Consulting Ltd","www.nzta.govt.nz/resources/research/reports/317","ITS environmental monitoring and forecasting: International Trends and Experiences March 2007","Air quality","best practice","emissions",74
"RR 354","9",39661,"MWH","www.nzta.govt.nz/resources/research/reports/354","Better integration of land use and transport at a regional level: Scoping regional guidelines","Implementation","integration","land use",75
"RR 491","2",41061,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/491","Factors influencing the decision to rehabilitate a pavement","age","failure","life",76
"RR 287","40",2006,"GHD Ltd","www.nzta.govt.nz/resources/research/reports/287","Multi-lane Roundabout Designs for Cyclists","C-roundabout","confirmed geometry","cyclist",77
"RR 444","4",40664,"McCormick Rankin Cagney","www.nzta.govt.nz/resources/research/reports/444","The value of integrating land use and transport - Sylvia Park as a case study","Auckland","bus","costs",78
"RR 517","41",41306,"Opus International Consultants 
MWH New Zealand Ltd
Statistics Research Associates Ltd","www.nzta.govt.nz/resources/research/reports/517","Use of roadside barriers versus clear zones","barrier","clear zone","computer simulation",79
